tweet,bias,pos,neg,label
"['followfriday', 'top', 'engag', 'member', 'commun', 'week', ':)']",1,3764,72,1.0
"['hey', 'jame', 'odd', ':/', 'pleas', 'call', 'contact', 'centr', '02392441234', 'abl', 'assist', ':)', 'mani', 'thank']",1,4464,517,1.0
"['listen', 'last', 'night', ':)', 'bleed', 'amaz', 'track', 'scotland']",1,3759,160,1.0
"['congrat', ':)']",1,3589,4,1.0
"['yeaaah', 'yipppi', 'accnt', 'verifi', 'rqst', 'succeed', 'got', 'blue', 'tick', 'mark', 'fb', 'profil', ':)', '15', 'day']",1,3915,280,1.0
"['one', 'irresist', ':)', 'flipkartfashionfriday']",1,3716,150,1.0
"['like', 'keep', 'love', 'custom', 'wait', 'long', 'hope', 'enjoy', 'happi', 'friday', 'lwwf', ':)']",1,4923,646,1.0
"['second', 'thought', '’', 'enough', 'time', 'dd', ':)', 'new', 'short', 'enter', 'system', 'sheep', 'must', 'buy']",1,3965,355,1.0
"['jgh', 'go', 'bayan', ':D', 'bye']",1,789,234,1.0
"['act', 'mischiev', 'call', 'etl', 'layer', 'in-hous', 'wareh', 'app', 'katamari', 'well', '…', 'name', 'impli', ':p']",1,342,133,1.0
"['followfriday', 'top', 'influenc', 'commun', 'week', ':)']",1,3759,67,1.0
"['love', 'big', '...', 'juici', '...', 'selfi', ':)']",1,4594,843,1.0
['follow'],1,381,262,1.0
"['perfect', 'alreadi', 'know', ""what'"", 'wait', ':)']",1,3852,245,1.0
"['great', 'new', 'opportun', 'junior', 'triathlet', 'age', '12', '13', 'gatorad', 'seri', 'get', 'entri', ':)']",1,4137,336,1.0
"['lay', 'greet', 'card', 'rang', 'print', 'today', 'love', 'job', ':-)']",1,1264,291,1.0
"[""friend'"", 'lunch', '...', 'yummm', ':)', 'nostalgia', 'tb', 'ku']",1,3870,344,1.0
"['id', 'conflict', 'thank', 'help', ':D', ""here'"", 'screenshot', 'work']",1,1437,303,1.0
"['hi', 'liv', ':)']",1,3743,36,1.0
"['hello', 'need', 'know', 'someth', 'u', 'fm', 'twitter', '—', 'sure', 'thing', ':)', 'dm', 'x']",1,4349,674,1.0
"['followfriday', 'top', 'new', 'follow', 'commun', 'week', ':)']",1,4265,379,1.0
"[""i'v"", 'heard', 'four', 'season', 'pretti', 'dope', 'penthous', 'obv', 'gobigorgohom', 'fun', ""y'all"", ':)']",1,3712,147,1.0
"['yeah', 'suppos', 'lol', 'chat', 'bit', 'x', ':)']",1,3791,156,1.0
"['hello', ':)', 'get', 'youth', 'job', 'opportun', 'follow']",1,4297,523,1.0
"['💅', '🏽', '💋', ':)', 'seen', 'year']",1,3626,74,1.0
"['thank', ':-)']",1,1312,107,1.0
"['hope', 'rest', 'night', 'goe', 'quickli', '...', 'bed', '...', 'got', 'music', 'fix', 'time', 'dream', ':)']",1,4640,1171,1.0
"['spiritu', 'ritual', 'festiv', 'népal', 'begin', 'line-up', ':)', 'left', 'line-up', 'see', '...']",1,4077,489,1.0
"['hey', 'sarah', 'send', 'us', 'email', 'bitsy@bitdefender.com', ""we'll"", 'help', 'asap', ':)']",1,3872,157,1.0
"['lol', ':D']",1,693,43,1.0
"['kik', 'hatessuc', '32429', 'kik', 'kikm', 'lgbt', 'tinder', 'nsfw', 'akua', 'cumshot', ':)']",1,3621,156,1.0
"['come', 'hous', ':)']",1,3645,109,1.0
"['nsn_supplement', 'effect', 'press', 'releas', 'distribut', 'result', ':)', 'link', 'remov', 'pressreleas', 'newsdistribut']",1,3611,35,1.0
"['hi', 'bam', 'follow', 'bestfriend', 'love', 'lot', ':)', 'see', 'warsaw', '<3', 'love', '<3', 'x46']",1,5600,813,1.0
"['everyon', 'watch', 'documentari', 'earthl', 'youtub', ':-)']",1,812,108,1.0
['follow'],1,381,262,1.0
"['followfriday', 'top', 'support', 'commun', 'week', ':)']",1,3768,92,1.0
"['buuut', 'oh', 'well', ':-)']",1,827,149,1.0
"['look', 'forward', 'visit', 'next', 'week', 'letsgetmessi', 'jo', ':-)']",1,1021,214,1.0
"['make', 'u', 'feel', 'better', 'never', 'see', 'anyon', 'kpop', 'flesh', ':D']",1,1234,690,1.0
"['good', 'girl', 'best', 'wish', ':-)']",1,1076,242,1.0
"['great', 'enough', 'reason', 'listen', 'one', 'epic', 'soundtrack', ':D']",1,979,222,1.0
"['thank', 'shout', 'great', 'friday', ':)']",1,4487,143,1.0
"['ad', 'video', 'playlist']",1,53,26,1.0
"['would', 'love', 'see', 'dear', 'jordan', ':)', 'wait', ':)']",1,7892,405,1.0
"['oh', 'okay', ':D', 'thank']",1,1341,237,1.0
"['like', 'fake', 'gameplay', ';)', 'haha', 'im', 'kid', 'im', 'kid', 'good', 'stuff', ':)']",1,4274,674,1.0
"['yeah', 'exactli', ':)']",1,3621,48,1.0
"['new', 'product', 'line', 'etsi', 'shop', 'check', ':)']",1,3798,94,1.0
"['hope', 'vacat', 'go', 'great', ':D']",1,1095,351,1.0
"['recharg', 'normal', 'come', 'charger', 'u', 'buy', ':)']",1,3833,309,1.0
"['followfriday', 'top', 'engag', 'member', 'commun', 'week', ':)']",1,3764,72,1.0
"['well', 'asleep', 'one', 'talk', 'sooo', 'someon', 'text', ':)']",1,3890,364,1.0
"['ye', 'suppos', 'bet', ""he'll"", 'blue', 'fit', 'hear', 'speech', 'today', 'piti', ':-)']",1,943,216,1.0
"['green', 'garden', 'midnight', 'sun', 'beauti', 'canal', 'dasvidaniya', 'till', 'next', 'visit', ':)']",1,3733,94,1.0
"['scout', 'sg', 'futur', 'wlan', 'pro', 'confer', 'asia', ':)']",1,3591,12,1.0
"['good', 'u', 'better', 'chang', 'lollipop', '🍭', ':)']",1,4059,359,1.0
"['<3', 'u', 'nez', ':)', 'agnezmo']",1,3879,220,1.0
